Lmin,frac
92.1667,0.282097547
92.1667,0.296564811
91.6667,0.30363698
90.1667,0.31977881
89.1667,0.334580062
85.5,0.341130994
86.5,0.360308671
87,0.37547931
85,0.360784706
82,0.315040244
80.5,0.258798758
80.5,0.209109317
81.5,0.182003681
81,0.135802469
82,0.176829268
84,0.226190476
85.5,0.269005848
86.5,0.294797688
85.5,0.280701754
84.5,0.266272189
84,0.251984524
83.8333,0.24254443
83.8333,0.228627526
83.8333,0.246520178
83.8333,0.276341263
85.3333,0.265624323
86.8333,0.220728684
88.3333,0.222640839
88.8333,0.2495303
89.3333,0.22014859
89.3333,0.197760522
89.8333,0.185528084
90.3333,0.178966118
91.3333,0.193429998
91.3333,0.193429998
92.3333,0.175089594
92.3333,0.149819188
97.5,0.2
98,0.229591837
99,0.286194949
99.5,0.345058291
99.5,0.410384925
99,0.473063636
98,0.535714286
98,0.576530612
95.5,0.628272251
95.5,0.638743455
95.5,0.671902618
95.5,0.692845026
95.5,0.698080628
95.5,0.682373822
95.5,0.654450262
95.5,0.636997906
94,0.473404255
94,0.460992553
94,0.434396809
94,0.402481915
94.5,0.368606349
94.5,0.326278307
94.5,0.283950265
95,0.266666316
96.5,0.236614508
95.5,0.239092147
95,0.245613684
94,0.248226596
93,0.240143011
92,0.22101413
91,0.19597033
91,0.177656044
91.1667,0.33089604
89.1667,0.358878371
86.1667,0.423597515
84.6667,0.519684835
83.1667,0.595190142
80.6667,0.632231144
76.3333,0.615720793
72.8333,0.590389286
71.3333,0.644860114
71.3333,0.672897511
71,0.692488732
71,0.685446479
71,0.657277465
71,0.643192958
71,0.650235211
71,0.657277465
70.6667,0.716981266
70.6667,0.674528455
70.6667,0.65330205
70.6667,0.681603924
70.6667,0.745283139
70.6667,0.766509544
71,0.73943662
71,0.690140845
72.3333,0.744239513
72.3333,0.730414622
72.3333,0.723502177
71.3333,0.705607339
72,0.708333333
71,0.697183099
71,0.690140845
71,0.690140845
70.1667,0.560570755
70.1667,0.532067206
70.1667,0.496437769
70.1667,0.496437769
69.8333,0.529833188
69.8333,0.55847282
69.5,0.573141007
69.5,0.565946763
69.3333,0.564903156
69,0.570047826
70,0.57619
70.3333,0.521326313
71.6667,0.437210029
72.6667,0.327982418
73.6667,0.248869571
73.6667,0.20135828
76.8333,-0.136659495
80.3333,-0.207469381
84.3333,-0.298419486
90.3333,-0.311808602
97.3333,-0.263699063
103.8333,-0.218298946
109.8333,-0.210926012
113.3333,-0.222059183
118,-0.177966102
119.5,-0.150627615
121,-0.140495868
123,-0.12601626
124.5,-0.104417671
125.5,-0.039840637
125.5,0.055776892
125.5,0.128818327
127.8333,0.191655852
124.8333,0.213617681
121.8333,0.290013486
119.3333,0.392457931
115.1667,0.408104079
108.1667,0.374422073
99.1667,0.379832141
91.6667,0.438182022
92.5,0.331531892
90.5,0.278085083
88.5,0.209039548
86,0.149224419
85.5,0.136452632
86,0.172480233
87.5,0.219048
88.5,0.250471186
92.5,0.324324324
89.5,0.312849162
86.5,0.317919075
84.5,0.337278107
83.5,0.389221557
81.5,0.447852761
79,0.483122785
76,0.502193421
77.5,0.513978065
77.5,0.539784516
77.5,0.569892903
77,0.606061039
76.5,0.620915033
76.5,0.633986928
76,0.638157895
75.5,0.644592053
76,0.638157895
76,0.609648684
75,0.544444
74.5,0.474272483
74.5,0.407158389
75,0.371110667
76,0.353069737
76,0.339911842
76.5,0.335512418
77.5,0.305376774
78.5,0.263270064
80.5,0.250518012
82.5,0.244444848
84.5,0.244576331
86,0.222868605
86.5,0.19845896
87.5,0.217142857
87.5,0.205714286
87,0.17816092
87,0.172413793
87,0.17816092
87,0.201149425
87.1667,0.225621711
87.1667,0.237093982
88.1667,0.268431278
87.1667,0.311663743
87.1667,0.363288962
86.6667,0.371154088
87.3333,0.364503574
86.8333,0.383876923
86.8333,0.458732998
85.1667,0.512720347
84.1667,0.407921423
83.5,0.38522994
82.5,0.353535758
81.5,0.333333742
80.5,0.331263354
80,0.33958375
79,0.36286962
79,0.375527848
77,0.411255844
77,0.430736364
76,0.456140789
76.5,0.485839216
77,0.508658442
78,0.502137179
79.5,0.498952201
79.5,0.486373585
79.5,0.498952201
79,0.483122785
78,0.450855128
77,0.404762338
76.5,0.381264052
76.5,0.342048366
76.3333,0.314410618
76.8333,0.299349371
75.8333,0.274724956
76.8333,0.277656953
79.8333,0.281837278
81.8333,0.256619249
82.5,0.244444848
82.5,0.286869091
82.5,0.371717576
81.5,0.44376319
81.5,0.588957055
81,0.569959259
80,0.55625
79,0.537974684
78,0.525641026
77,0.519480519
76.5,0.516339869
76,0.526315789
78.5,0.526538854
77.5,0.56344129
76.5,0.61655817
75.5,0.668874172
75,0.697777333
74.5,0.724832215
74,0.761260811
73.5,0.786847619
72.1667,0.787529428
72.1667,0.771362692
71.1667,0.74004696
70.6667,0.716981266
70.6667,0.70518929
70.6667,0.712264758
70.5,0.725768794
71,0.741784507
71,0.579812676
71,0.530516901
69.8333,0.436754385
70.8333,0.360000169
72.3333,0.306450832
74.8333,0.29621305
77.3333,0.306033753
78.3333,0.319149072
78.5,0.267515924
79.5,0.318657862
80,0.32291625
80,0.27916625
80.5,0.277432298
84,0.33134881
88.5,0.354048588
92.5,0.344143784
91.5,0.342440437
91.5,0.342440437
92,0.351448913
92,0.351448913
91,0.338827473
90,0.325925556
89,0.312733708
88,0.304923864
84.8333,0.271119949
84.8333,0.265226037
84.3333,0.247035276
84.3333,0.223319851
85.3333,0.208984066
86.3333,0.189188876
87.3333,0.18893137
88.3333,0.186792523
90.3333,0.180811506
92.3333,0.182310174
94.3333,0.201413499
94.8333,0.189806745
94.3333,0.153710302
95.3333,0.104895142
96.8333,0.041308104
97.8333,0.006813631
98.3333,0.091525455
97.6667,0.075085981
99.3333,0.085570499
100.3333,0.084717636
102.3333,0.107491892
103.3333,0.11612907
104.6667,0.125796457
104.6667,0.130573525
104.3333,0.166133919
104.3333,0.199680255
103.6667,0.245980628
101.6667,0.280327777
100.6667,0.314569763
99.1667,0.359664081
98.8333,0.40472189
98.3333,0.445762524
99.5,0.448911558
98,0.455782653
95,0.575438947
91.5,0.64116612
89,0.574906742
86.5,0.57996185
84.5,0.613411834
83.5,0.55488982
80.8333,0.59587571
79.8333,0.61586581
78.6667,0.629237022
78.1667,0.601279061
77.5,0.541935484
78,0.5
78,0.487179487
78,0.5
77.3333,0.594827843
77.3333,0.594827843
77.3333,0.594827843
76.3333,0.596070129
76.3333,0.615720793
75.3333,0.630531252
76,0.653509211
76,0.666667105
74.3333,0.65246666
74.3333,0.6457402
74.3333,0.639013739
75.3333,0.643805595
75.6667,0.645375046
76.6667,0.656522323
76.6667,0.669565796
76.3333,0.674672784
75.3333,0.707964473
75,0.684444
74.3333,0.661434377
74.3333,0.681613759
74.3333,0.715246061
74.3333,0.728698981
74,0.716216216
74,0.689189189
73.5,0.653061224
73.5,0.469387755
72.8333,0.535469353
72.8333,0.693364162
72.8333,0.631579236
72.8333,0.542334344
72.1667,0.551963717
71.8333,0.545242944
77.3333,0.465517442
76.8333,0.431669602
76.8333,0.377440511
76.8333,0.338394941
76.8333,0.284164548
77.8333,0.28051361
79.5,0.291405031
80,0.28958375
80,0.32083375
80,0.33333375
81,0.366255556
81.5,0.417177914
81.5,0.496932515
81,0.606996296
80,0.6875
80,0.74375
77.5,0.722580645
76.5,0.732026144
75.5,0.741721854
74.5,0.751677852
73.5,0.761904762
73.5,0.761904762
74,0.756756757
74,0.756756757
73,0.719178082
73,0.712328767
73,0.712328767
73,0.705479452
73,0.705479452
73,0.698630137
73,0.698630137
73,0.698630137
74,0.689189189
74,0.713963514
74,0.740990541
74,0.747747297
74,0.727477027
74,0.72072027
74,0.727477027
74,0.747747297
74,0.727477027
74,0.727477027
74,0.72072027
74,0.72072027
74,0.72072027
74,0.72072027
74,0.713963514
74,0.713963514
75,0.666666667
75,0.686666667
75,0.686666667
75,0.673333333
75,0.646666667
75,0.633333333
75,0.64
75,0.653333333
75,0.64
75,0.646666667
75,0.646666667
75,0.64
75,0.62
75,0.586666667
75,0.553333333
75,0.537777333
76,0.537280263
76,0.526315789
76,0.493421053
77,0.474025974
77,0.461038961
78,0.480769231
78,0.502137179
78,0.514957692
78,0.514957692
78.5,0.492569427
79.5,0.450733333
80.5,0.414078261
81.5,0.396727607
82.5,0.379797576
83,0.383533735
84.1667,0.392079053
83.5,0.345308982
84.8333,0.337916832
84.8333,0.320235096
85.3333,0.318358718
86,0.33527093
86,0.370154651
87,0.423371264
87,0.452106897
84.8333,0.461688983
83.3333,0.487999395
81.5,0.513292025
82,0.54065
83,0.564256627
83,0.588353012
82,0.626015854
80,0.65
76.5,0.70152549
76.5,0.699346405
77,0.694805195
77,0.694805195
77,0.701298701
77,0.714285714
77.5,0.729032258
77.5,0.735483871
77,0.681818182
76,0.677631579
76,0.671052632
76,0.671052632
76,0.664473684
77,0.662337662
78,0.666666667
79,0.672996203
77.8333,0.678800719
77.8333,0.695930919
77.3333,0.702586079
77.3333,0.713361514
77.3333,0.713361514
77.3333,0.711207203
76.8333,0.698480997
76.8333,0.685465807
77.8333,0.700214433
77.3333,0.685345123
76.8333,0.670282286
76.8333,0.668112654
77.3333,0.676723999
78.3333,0.668084965
79.3333,0.634453628
79.8333,0.607515911
82.5,0.638384242
82.5,0.612121212
82.5,0.593939394
82.5,0.587878788
82.5,0.612121212
82.5,0.624242424
82.5,0.612121212
82.5,0.6
79.5,0.572327044
80,0.58125
80.5,0.592132919
81.5,0.591002454
82.5,0.589899394
83,0.57429759
83.5,0.558882635
83.5,0.546906587
83.8333,0.548707972
84.3333,0.527668193
84.8333,0.512770339
84.8333,0.506876427
84.8333,0.495088603
85.3333,0.480468938
85.3333,0.439453297
85.3333,0.404297033
